"Label (Grouping)","Total"
"Alabama",""
"    Alabama","5,024,279"
"Alaska",""
"    Alaska","733,391"
"Arizona",""
"    Arizona","7,151,502"
"Arkansas",""
"    Arkansas","3,011,524"
"California",""
"    California","39,538,223"
"Colorado",""
"    Colorado","5,773,714"
"Connecticut",""
"    Connecticut","3,605,944"
"Delaware",""
"    Delaware","989,948"
"District of Columbia",""
"    District of Columbia","689,545"
"Florida",""
"    Florida","21,538,187"
"Georgia",""
"    Georgia","10,711,908"
"Hawaii",""
"    Hawaii","1,455,271"
"Idaho",""
"    Idaho","1,839,106"
"Illinois",""
"    Illinois","12,812,508"
"Indiana",""
"    Indiana","6,785,528"
"Iowa",""
"    Iowa","3,190,369"
"Kansas",""
"    Kansas","2,937,880"
"Kentucky",""
"    Kentucky","4,505,836"
"Louisiana",""
"    Louisiana","4,657,757"
"Maine",""
"    Maine","1,362,359"
"Maryland",""
"    Maryland","6,177,224"
"Massachusetts",""
"    Massachusetts","7,029,917"
"Michigan",""
"    Michigan","10,077,331"
"Minnesota",""
"    Minnesota","5,706,494"
"Mississippi",""
"    Mississippi","2,961,279"
"Missouri",""
"    Missouri","6,154,913"
"Montana",""
"    Montana","1,084,225"
"Nebraska",""
"    Nebraska","1,961,504"
"Nevada",""
"    Nevada","3,104,614"
"New Hampshire",""
"    New Hampshire","1,377,529"
"New Jersey",""
"    New Jersey","9,288,994"
"New Mexico",""
"    New Mexico","2,117,522"
"New York",""
"    New York","20,201,249"
"North Carolina",""
"    North Carolina","10,439,388"
"North Dakota",""
"    North Dakota","779,094"
"Ohio",""
"    Ohio","11,799,448"
"Oklahoma",""
"    Oklahoma","3,959,353"
"Oregon",""
"    Oregon","4,237,256"
"Pennsylvania",""
"    Pennsylvania","13,002,700"
"Rhode Island",""
"    Rhode Island","1,097,379"
"South Carolina",""
"    South Carolina","5,118,425"
"South Dakota",""
"    South Dakota","886,667"
"Tennessee",""
"    Tennessee","6,910,840"
"Texas",""
"    Texas","29,145,505"
"Utah",""
"    Utah","3,271,616"
"Vermont",""
"    Vermont","643,077"
"Virginia",""
"    Virginia","8,631,393"
"Washington",""
"    Washington","7,705,281"
"West Virginia",""
"    West Virginia","1,793,716"
"Wisconsin",""
"    Wisconsin","5,893,718"
"Wyoming",""
"    Wyoming","576,851"
"Puerto Rico",""
"    Puerto Rico","3,285,874"